threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
0.21000000000000002,0.7148558273403764,0.7823566120240091,0.5973203006895981,0.597518384346732,0.968666479110986,0.739115851613336,0.5170486981763563,1299,18554,891,27545
0.09,0.7148558273403764,0.7823566120240091,0.5873387313881008,0.5887370945875482,0.9926501617667746,0.7391105117764889,0.49972507080934303,135,19718,209,28227
0.09999999999999999,0.7148558273403764,0.7823566120240091,0.5875044005881257,0.5889578241524096,0.9914896609931073,0.7389623494567994,0.5001774099555775,176,19677,242,28194
0.2,0.7148558273403764,0.7823566120240091,0.5954772308393216,0.5960177754767452,0.9716204810803207,0.7388223339394588,0.5141686750336878,1126,18727,807,27629
0.11,0.7148558273403764,0.7823566120240091,0.5876493611381474,0.5891855695990625,0.9901533267688846,0.7387699412258607,0.5006425728187847,221,19632,280,28156
0.12,0.7148558273403764,0.7823566120240091,0.587773613038166,0.5894354973997651,0.9885004923336616,0.7385055961326257,0.5011509664609929,274,19579,327,28109
0.19,0.7148558273403764,0.7823566120240091,0.59379983018907,0.5947129941804282,0.973906315937544,0.7384771275815634,0.5116345663201547,980,18873,742,27694
0.13,0.7148558273403764,0.7823566120240091,0.5883948725382593,0.5899991588863656,0.9867069911379941,0.7384461522265502,0.5022942098187326,355,19498,378,28058
0.18000000000000002,0.7148558273403764,0.7823566120240091,0.5926194371388929,0.5937286105407256,0.9761569841046561,0.7383625046549982,0.5097125020256319,859,18994,678,27758
0.17,0.7148558273403764,0.7823566120240091,0.5914804613887221,0.5927574821599745,0.9785834857223238,0.7383027553362254,0.507802799124699,735,19118,609,27827
0.16,0.7148558273403764,0.7823566120240091,0.5905071548385761,0.5919220646914,0.9807638205092136,0.7382729775518848,0.5061477894668166,626,19227,547,27889
0.43,0.7148558273403764,0.7823566120240091,0.6618484540992773,0.6783010809696327,0.8098537065691377,0.7382627791046211,0.6298550757194653,8931,10922,5407,23029
0.15000000000000002,0.7148558273403764,0.7823566120240091,0.589513139638427,0.5910763374920702,0.9829793219862146,0.7382404986398331,0.5044599929328645,515,19338,484,27952
0.14,0.7148558273403764,0.7823566120240091,0.5884984157882748,0.5902738253335863,0.984737656491771,0.7381087314662274,0.5028458342399418,416,19437,434,28002
0.44,0.7148558273403764,0.7823566120240091,0.6636086893495413,0.683969097054563,0.7970178646785765,0.7361787825635029,0.6347704545273707,9381,10472,5772,22664
0.45,0.7148558273403764,0.7823566120240091,0.6651204207997681,0.6899959723642222,0.7831973554649037,0.7336484772618714,0.6395964614427223,9847,10006,6165,22271
0.46,0.7148558273403764,0.7823566120240091,0.6662593965499389,0.6959536836747677,0.7693768462512308,0.7308257616247996,0.6439691363679465,10295,9558,6558,21878
0.47000000000000003,0.7148558273403764,0.7823566120240091,0.6669220733500383,0.7022001047668937,0.7542551695034463,0.7272973889454053,0.6480438190739919,10757,9096,6988,21448
0.48000000000000004,0.7148558273403764,0.7823566120240091,0.6673155377000973,0.7083010607846438,0.7396609931073287,0.7236414305620065,0.6516770688601168,11191,8662,7403,21033
0.49,0.7148558273403764,0.7823566120240091,0.6674604982501191,0.714523396880416,0.7249261499507667,0.7196871836050692,0.6550385043815183,11617,8236,7822,20614
